ID,Preconditions,Secure Coding Guidelines,CWE-IDs,content
M143,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit contains related input fields",The code unit should validate the consistency of data entered across related input fields.,125; 89; 78; 77; 22; 20,consistency across related fields;
M144,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. There are business rules that the input should statisfy",The code unit should validate the input conformance to business rules ,125; 20; 77; 79; 78; 22,and conformance to business rules
M145,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should contain a denylist for the inputs,125; 89; 78; 77; 22; 20,denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright.
M146,The code unit performs arithmetic calculations based on buffers,The code unit should validate correct calculations for any length argument; buffer size calculation or offset,125,ensure that you validate and ensure correct calculations for any length argument; buffer size calculation; or offset.
M147,"1. The code unit is written in language suceptible to buffer related weaknesses
2. The code unit handles buffer operations",The code unit should use vetted library or framework that prevents impropeor operations within the bounds of a memory buffer,119,Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.
M148,"1. The code unit is written in language suceptible to buffer related weaknesses
2. The code unit handles buffer operations",The code unit should verify if the buffer is as large as specified,119,Consider adhering to the following rules when allocating and managing an application's memory: Double check that the buffer is as large as specified.
M149,"1. The code unit is written in language suceptible to buffer related weaknesses
2. The code unit handles buffer operations",The code unit should verify if the destination buffer size is equal to the source buffer size when copying content.,119,When using functions that accept a number of bytes to copy; such as strncpy(); be aware that if the destination buffer size is equal to the source buffer size; it may not NULL-terminate the string.
M150,"1. The code unit is written in language suceptible to buffer related weaknesses
2. The code unit handles buffer operations",The code unit should verfies the buffer boundaries when accessing buffer in a loop.,119,Check buffer boundaries if accessing the buffer in a loop and make sure there is no danger of writing past the allocated space.
M151,"1. The code unit is written in language suceptible to buffer related weaknesses
2. The code unit handles buffer operations",The code unit should truncates all input strings to a reasonable length before passing them to copy and concatenation function,119,If necessary; truncate all input strings to a reasonable length before passing them to the copy and concatenation functions.
M152,"1. The code unit is written in language suceptible to buffer related weaknesses
2. The code unit handles buffer operations",The code unit should use unbounded copy functions that do not support length arguments,119,Replace unbounded copy functions with analogous functions that support length arguments; such as strcpy with strncpy.
M153,1. The code unit constructs code segments using external inputs,The code unit should use external inputs from a upstream component to construct parts of a code segment without properly neutralizing the special elements in it. ,94,The product constructs all or part of a code segment using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment.
M154,1. The code unit constructs code segments and executes it,The code unit should execute code segments in a sandbox environment,94,"Run your code in a ""jail"" or similar sandbox environment that enforces strict boundaries between the process and the operating system. This may effectively restrict which code can be executed by your product."
M155,1. The code unit constructs code segments using external inputs,The code unit should use stringent allowlists that limit which constructs are allowed,94,To reduce the likelihood of code injection; use stringent allowlists that limit which constructs are allowed.
M156,"1. The code unit constructs code segments using external inputs
2. The code unit is in Python
3. The code unit uses eval function",The code unit should use ast.literal_eval() function instead of eval,94,For Python programs; it is frequently encouraged to use the ast.literal_eval() function instead of eval; since it is intentionally designed to avoid executing code. However; an adversary could still cause excessiv e memory or stack consumption via deeply nested structures [REF-1372]; so the python documentation discourages use of ast.literal_eval() on untrusted data
M157,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit shoulds quotes all input fields,89,attackers can: Target fields that are not quoted 
M158,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit should escape all meta-characters properly,89,Find ways to bypass the need for certain escaped meta-characters 
M159,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
3. The code unit implements stored procedure","The code unit should implements stored procedure correctly:
- the stored procedure should avoid dynamic SQL queries
- the stored procedure should use parameterized queries",89,Use stored procedures to hide the injected meta-characters. Manually escaping characters in input to SQL queries can help; but it will not make your application secure from SQL injection attacks.
M160,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit should separates user provided data and executable commands in code,89,If available; use structured mechanisms that automatically enforce the separation between data and code. These mechanisms may be able to provide the relevant quoting; encoding; and validation automatically; instead of relying on the developer to provide this capability at every point where output is generated.
M161,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit should use prepared statements; parameterized queries or stored procedures for processing SQL queries,89,Process SQL queries using prepared statements; parameterized queries; or stored procedures
M162,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)","The code unit should dynamically construct and execute query strings using ""exec"" or similar functionality.",89,"Do not dynamically construct and execute query strings within these features using ""exec"" or similar functionality; since this may re-introduce the possibility of SQL injection"
M163,"1.  The code unit handles SQL database operations
2. The code unit creates user accounts to a SQL database",The code unit should follow the principle of least privilege when creating user accounts to a SQL database,89,follow the principle of least privilege when creating user accounts to a SQL database.
M164,"1. The code unit handles SQL database operations
2. The code unit handles user accounts with read/write privilege",The code unit should limit the user privileges such that the users with read/write privileges cannot read/write others' data,89,If the requirements of the system indicate that a user can read and modify their own data; then limit their privileges so they cannot read/write others' data. 
M165,"1. The code unit handles SQL database operations
",The code unit should use the strictest permissions possible on all database objects.,89,Use the strictest permissions possible on all database objects; such as execute-only for stored procedures.
M166,1. The code unit has a client side and server side,The code unit should perform same security checks on both client and server side.,89,For any security checks that are performed on the client side; ensure that these checks are duplicated on the server side;
M167,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should escape or filter all characters that do not pass an extremely strict allowlist.,89,The most conservative approach is to escape or filter all characters that do not pass an extremely strict allowlist (such as everything that is not alphanumeric or white space). 
M168,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit should wrap arguments in quotes after the escaping/filtering step when handling special characters,89,If some special characters are still needed; such as white space; wrap each argument in quotes after the escaping/filtering step.
M169,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should accept any input that does not conform to specifications,89,Reject any input that does not strictly conform to specifications; 
M170,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should transform all input that does not conform to specifications into something that does,78; 77; 20; 89,or transform it into something that does.
M171,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should validate the input consistency across related fields ,89,consistency across related fields;
M172,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should use stringent allowlists that limit the character set based on the expected value of the parameter in the request,89,When constructing SQL query strings; use stringent allowlists that limit the character set based on the expected value of the parameter in the request
M173,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit should perform proper output encoding,89,Note that proper output encoding;
M174,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit should perform output escaping ,89, escaping; 
M175,"1. The code unit contains SQL statements
2. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)",The code unit should perform output quoting,89,and quoting is the most effective solution for preventing SQL injection; although input validation may provide some defense-in-depth.
M176,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. A list of expected or acceptable input values are provided",The code unit should use a mapping from a set of fixed expected input values to the actual inputs when the acceptable inputs are known,89; 79,When the set of acceptable objects; such as filenames or URLs; is limited or known; create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs; and reject all other inputs.
M177,1. The code unit prints error messages,The code unit should provide unnecessary details in the error messages,89,Ensure that error messages only contain minimal details that are useful to the intended audience and no one else.
M178,1. The code creates or write to log files,The code unit should save highly sensitive information to the log files,89,Highly sensitive information such as passwords should never be saved to log files.
M179,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should contain a denylist for the inputs,89,or identify and escape a denylist of potentially malicious values.
M180,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. It is feasible to disallow meta-characters",The code unit should disallow meta-characters entirely when feasible,89,When feasible; it may be safest to disallow meta-characters entirely; instead of escaping them. This will provide some defense in depth
M181,1. The code unit handles web requests,The code unit should accept untrusted data as input from a web request,79,Cross-site scripting (XSS) vulnerabilities occur when: 1. Untrusted data enters a web application; typically from a web request. 
M182,1. The code unit generates a web page,The code unit should dynamically generates a web page using untrusted data that contains executable content,79,2. The web application dynamically generates a web page that contains this untrusted data.  3. During page generation; the application does not prevent the data from containing content that is executable by a web browser; such as JavaScript; HTML tags; HTML attributes; mouse events; Flash; ActiveX; etc. 
M183,1. The code unit handles HTTP request and responses,The code unit should read data directly from the HTTP request and reflects it back in the HTTP response,79,The server reads data directly from the HTTP request and reflects it back in the HTTP response.
M184,1. The code unit generates a web page,The code unit should injects server-supplied script containing user-supplied data into a webpage,79,DOM-based XSS generally involves server-controlled; trusted script that is sent to the client; such as Javascript that performs sanity checks on a form before the user submits it. If the server-supplied script processes user-supplied data and then injects it back into the web page (such as with dynamic HTML); then DOM-based XSS is possible
M185,1. The code unit generates a web page,The code unit should apprpriately encodes all non-alphanumeric characters in data that will be output to another webpage.,79,For any data that will be output to another web page; especially any data that was received from external inputs; use the appropriate encoding on all non-alphanumeric characters.
M186,1. The code unit generates output,The code unit should specify the correct output encoding that needs to be used,79,Use and specify an output encoding that can be handled by the downstream component that is reading the output. Common encodings include ISO-8859-1; UTF-7; and UTF-8.
M187,1. The code unit handles HTTP requests,The code unit should specify encoding in the HTTP header,79,If an encoding is not specified in an HTTP header; web browsers often guess about which encoding is being used. This can open up the browser to subtle XSS attacks.
M188,1. The code unit handles HTTP requests,The code unit should set the session cookie to HttpOnly,79,To help mitigate XSS attacks against the user's session cookie; set the session cookie to be HttpOnly
M189,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should use a list of acceptable inputs that strictly conform to specifications,79,"Use an ""accept known good"" input validation strategy; i.e.; use a list of acceptable inputs that strictly conform to specifications. "
M190,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should reject any input that does not strictly conform to specifications or transform it to something that does,79,Reject any input that does not strictly conform to specifications; or transform it into something that does.
M191,1. The code unit handles HTTP requests,The code unit should use stringent allowlist that limit the character set based on the expected value of the request parameter while dynamically constructing webpages,125; 20; 77; 79; 78; 22,When dynamically constructing web pages; use stringent allowlists that limit the character set based on the expected value of the parameter in the request. 
M192,1. The code unit handles HTTP requests,The code unit should validate the data in the request including hidden fields; cookies; headers; the URL itself; and so forth. ,79,but all data in the request; including hidden fields; cookies; headers; the URL itself; and so forth.
M193,1. The code unit generates output,The code unit should perform proper output encoding; escaping; and quoting,79,proper output encoding; escaping; and quoting is the most effective solution for preventing XSS; although input validation may provide some defense-in-depth.
M194,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit has interfaces",Check if hte code unit performs input validation at well-defined intergaces in the application,79,Ensure that you perform input validation at well-defined interfaces within the application. This will help protect the application even if a component is reused or moved elsewhere.
M195,1. The code unit constructs OS commands using external inputs,The code unit should construct an OS command using externally-influenced input from a component whose special elements are not correctly neutralized.,78,The product constructs all or part of an OS command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.
M196,1. It is possible to use library calls instead of external processes to perform a desired functionality,The code unit should use appropriate library calls to implement the desired functionality instead of relying on external processes.,78,If at all possible; use library calls rather than external processes to recreate the desired functionality.
M197,1. The code unit executes OS commands,The code unit should execute OS commands in a sandbox environtment such as chroot Jail; AppArmor etc.,78,"Run the code in a ""jail"" or similar sandbox environment that enforces strict boundaries between the process and the operating system. This may effectively restrict which files can be accessed in a particular directory or which commands can be executed by the software."
M198,1. The code unit executes OS commands,The code unit should keep the data used to generate an executable command out of external control,78,For any data that will be used to generate a command to be executed; keep as much of that data out of external control as possible.
M199,"1. The code unit is a web application
2. The code unit generates executable commands using some data",The code unit should store data used for command generation is stored locally in the session's state instead of sending it out to the client in a hidden form field.,78,For example; in web applications; this may require storing the data locally in the session's state instead of sending it out to the client in a hidden form field.
M200,1. The code unit executes OS commands,The code unit should use vetted library or framework that prevents OS command injection weakness,78,Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.
M201,1. The code unit executes OS commands,The code unit should properly quotes and escapes the special characters in the arguments used for command construction,78,Properly quote arguments and escape any special characters within those arguments.
M202,1. The code unit constructs OS commands using external inputs,The code unit should keep a strict allowlist for characters present in the arguments used for command construction,78,The most conservative approach is to escape or filter all characters that do not pass an extremely strict allowlist (such as everything that is not alphanumeric or white space). I
M203,1. The code unit constructs OS commands using external inputs,The code unit should escape or filters all the characters that do not pass an extremely strict allowlist of characters,78,The most conservative approach is to escape or filter all characters that do not pass an extremely strict allowlist (such as everything that is not alphanumeric or white space). I
M204,1. It is possible to take input arguments via standard input or an input file,The code unit should take input arguments via command line,78,If the program to be executed allows arguments to be specified within an input file or from standard input; then consider using that mode to pass arguments instead of the command line.
M205,"1. The code unit constructs OS commands using external inputs
2. Structured mechanisms that enable separatio between code and data are available",The code unit should use structures mechanisms that automatically enforce separation between data and code,78,If available; use structured mechanisms that automatically enforce the separation between data and code.
M206,1. The code unit constructs OS commands using external inputs,The code unit should perform proper output encoding; escaping and quoting of the arguments used in OS commands,78,Note that proper output encoding; escaping; and quoting is the most effective solution for preventing OS command injection; although input validation may provide some defense-in-depth.
M207,1. The code unit has a known list of acceptable objects such as filenames or URLs,The code unit should reject objects such as filenames or URLs not belonging to the known set of objects,78,When the set of acceptable objects; such as filenames or URLs; is limited or known; create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs; and reject all other inputs.
M208,1. The code unit displays error messages,The code unit should include unnecessary details in the error messages,78,Ensure that error messages only contain minimal details that are useful to the intended audience and no one else.
M209,1. The code unit displays error messages,The code unit should record the detailed error messages as log messages with restricted access,78,If errors must be captured in some detail; record them in log messages; but consider what could occur if the log messages can be viewed by attackers. Highly sensitive information such as passwords should never be saved to log files.
M210,1. The code unit stores sensitive information,The code unit should save highly senstive information such as passwords to log files,78,Highly sensitive information such as passwords should never be saved to log files.
M211,1. The code unit displays messages,The code unit should displays inconsistent messages about sensitive information such as the internal state of the system,78,Avoid inconsistent messaging that might accidentally tip off an attacker about internal state; such as whether a user account exists or not.
M212,1. The code unit handles OS command execution,The code unit should use an allowlist of allowable commands and reject the ones that do not belong to this list,78,Use runtime policy enforcement to create an allowlist of allowable commands; then prevent use of any command that does not appear in the allowlist. Technologies such as AppArmor are available to do this
M213,"1. The code unit is written in PHP
2. ?",The code unit should use register_globals,78,When using PHP; configure the application so that it does not use register_globals.
M214,1. The code unit constructs commands using external inputs,The code unit should construct a command using externally-influenced input from a component whose special elements are not correctly neutralized.,77,The product constructs all or part of a command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component
M215,1. The code unit executes external commands,The code unit should execute external commands that only created statically,77,If possible; ensure that all external commands called from the program are statically created.
M216,1. The code unit accepts filenames or paths as inputs from an external component (e.g.; user; other module etc.),The code unit should contain stringent allowlist that limit the character set to be used for validating filenames,22,When validating filenames; use stringent allowlists that limit the character set to be used.
M217,"1. The code unit accepts filenames or paths as inputs from an external component (e.g.; user; other module etc.)
2. It is feasible to restrict the directory separators such as ""/"" and characters such as "".""","The code unit should restrict the filename to have only a single ""."" character and exclude directory separators such as ""/""; if possible",22,"If feasible; only allow a single ""."" character in the filename to av oid weaknesses such as CWE-23 ; and exclude directory separators such as ""/"" to av oid CWE-36."
M218,1. The code unit accepts filenames or paths as inputs from an external component (e.g.; user; other module etc.),The code unit should use a list of allowable file extensions,22,Use a list of allow able file extensions; which will help to av oid CWE-434 .
M219,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should decode and canonicalizes the input to the application's current internal representation before validating it.,22,Inputs should be decoded and canonicalized to the application's current internal representation before being v alidated
M220,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit accepts inputs that need to be decoded",The code unit should decode the same input twice.,22,Make sure that the application does not decode the same input twice
M221,1. The code unit accepts filenames or paths as inputs from an external component (e.g.; user; other module etc.),"The code unit should use a built-in path canonicalization function to remove "".."" sequences and symbolic links.",22,"Use a built-in path canonicalization function (such as realpath() in C) that produces the canonical version of the pathname; which effectively removes "".."" sequences and symbolic links"
M222,1. The code unit handles tasks with access control.,The code unit should use the lowest privileges to accomplish the necessary tasks,22,Run your code using the lowest privileges that are required to accomplish the necessary tasks
M223,"1. The code unit handles tasks with access control.
",The code unit should create isolated accounts with limited privileges per task.,22,If possible; create isolated accounts with limited privileges that are only used for a single task.
M224,1. The code unit accepts filenames or paths as inputs from an external component (e.g.; user; other module etc.),"The code unit should run in ""jail"" or similar sandbox environment that enforces strict boundaries between the process and the operating system",22,"Run the code in a ""jail"" or similar sandbox environment that enforces strict boundaries between the process and the operating system."
M225,"1. The code handles web-based services
2. The code unit stores library; include or utility files",The code unit should store library; include; and utility files outside of the web document root or in a separate directory and ensure strict access control to the web server,22,Store library; include; and utility files outside of the web document root; if possible. Otherwise; store them in a separate directory and use the web server's access control capabilities to prevent attackers from directly requesting them.
M226,1. The code unit displays error messages,The code unit should restrict the information displayed in the error messages,22,Ensure that error messages only contain minimal details that are useful to the intended audience and no one else. The messages need to strike the balance between being too cryptic (which can confuse users) or being too detailed (which may reveal more than intended). The messages should not reveal the methods that were used to determine the error.
M227,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should not accept unexpected values as inputs.,20,An attacker could provide unexpected values and cause a program crash or excessive consumption of resources; such as memory and CPU.
M228,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The input properties are being used in the code",Check if the properties of input are correctly derived in the code unit,20,Errors in deriving properties may be considered a contributing factor to improper input validation. (Context: properties include properties of raw data and meta data that include size; length; frequency; rate and so on.)
M229,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should filters the input to remove dangerous inputs,20,such as filtering ( CWE-790) - which attempts to remove dangerous inputs
M230,The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should encode and escapes the input,20,or encoding/escaping ( CWE-116 ); which attempts to ensure that the input is not misinterpreted when it is included in output to another component.
M231,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit combines data from multiple sources",The code unit should perform validation after combining data from multiple sources.,20,When your application combines data from multiple sources; perform the validation after the sources have been combined. The individual data elements may pass the validation step but violate the intended restrictions after they have been combined.
M232,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit invokes code from another language",The code unit should validate inputs when invoking code from another language,20,validate all input when invoking code that crosses language boundaries; such as from an interpreted language to native code. Consequence:This could create an unexpected interaction between the language boundaries
M233,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should convert all inputs into the expected data type,20,Directly convert your input type into the expected data type; such as using a conversion function that translates a string into a number. 
M234,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should verifies if the inputs value falls in the expected range of values after conversion.,20,After converting to the expected data type; ensure that the input's values fall within the expected range of allowable values and that multi-field consistencies are maintained
M235,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit accepts inputs that need to be decoded",The code unit should decode the input to the application's current internal representation before validating it.,20,Inputs should be decoded to the application's current internal representation before being v alidated (CWE-180 ; CWE-181 ). 
M236,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should canonicalize the input to the application's current internal representation before validating it.,20,Input should be canonicalized to the application's current internal representation before being v alidated (CWE-180 ; CWE-181 ).
M237,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should perform repeated canonicalization until the input does not change.,20,Consider performing repeated canonicalization until your input does not change any more. Reason: This will avoid double-decoding and similar scenarios; but it might inadvertently modify inputs that are allowed to contain properly-encoded dangerous content
M238,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit exchanges data between different components",The code unit should perform correct and consistent encoding at each interface while exchanging data between components,20,Ensure that the proper encoding is applied at each interface. 
M239,1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.),The code unit should explicitly sets the required encoding whenever possible.,20,Explicitly set the encoding you are using whenever the protocol allows you to do so.
M240,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit converts the inputs into tokens",The code unit should verify if the input tokens are in compliance with the rules of the specified or derived  types,20,- compliance with rules for what is treated as a token specified or derived type 
M241,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. A set of domain specific rules are provided",The code unit should verify if the input conforms to the domain-specific rules,20,conformance to domain-specific rules; e.g. business logic equivalence - ensuring that equivalent inputs are treated the same
M242,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. Authenticity and ownership are relevant to the input",The code unit should verify the authenticity; ownership or other attestations about the input.,20,authenticity; ownership; or other attestations about the input; e.g. a cryptographic signature to prove the source of the data Implied or derived properties of data must often be calculated or inferred by the code itself.
M243,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit uses the metadata of the provided input",The code unit should validate metadata (such as information about the raw data; such as headers or size),20,metadata - information about the raw data; such as headers or size
M244,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
",The code unit should validate the implied and derived quantities of the input data (such as such as the actual size of a file instead of a specified size indexes; offsets; or positions into more complex data structures symbolic keys or other elements into hash tables; associative arrays; etc.),20,implied or derived quantities; such as the actual size of a file instead of a specified size indexes; offsets; or positions into more complex data structures symbolic keys or other elements into hash tables; associative arrays; etc.
M245,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit uses the metadata of the provided input",The code unit should validate the specified properties of the metadata (such as size; length; etc. ),20,Many properties of metadata may need to be validated upon entry into the code; such as: specified quantities such as size; length; frequency; price; rate; number of operations; time; etc. 
M246,"1. The code unit accepts inputs from an external component (e.g.; user; other module; etc.)
2. The code unit uses the metadata of the provided input",The code unit should validate the implied and derived quantities of the metadata (such as such as the actual size of a file instead of a specified size indexes; offsets; or positions into more complex data structures symbolic keys or other elements into hash tables; associative arrays; etc.),20,implied or derived quantities; such as the actual size of a file instead of a specified size indexes; offsets; or positions into more complex data structures symbolic keys or other elements into hash tables; associative arrays; etc.
M247,"1. The code unit processes XML documents
2. The XML document contains URIs as an XML entity",The code unit should prevent the URIs in XML entities of an XML document that resolve to documents outside of the intended sphere of control,611,The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control; causing the product to embed incorrect documents into its output.
M248,"1. The code unit processes XML documents
",The code unit should configure the XML parsers and validatory to disable externa entity expansion,611,Many XML parsers and validators can be configured to disable external entity expansion.
M249,The code unit writes or copies data,The code unit should writes data past the end or before the beginning of the intended buffer,787,The product writes data past the end; or before the beginning; of the intended buffer.
M250,"1. The code is written in C
2. The code unit writes or copies data",The code unit should uses a vetted library or framework that does not allow outo f bounds writing weakness or provides constructs that avoids this weakness such as safe C string library or Strsafe.h library,787,"Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.

Examples include the Safe C String Library (SafeStr) by Messier and Viega [REF-57]; and the Strsafe.h library from Microsoft [REF-56]. These libraries provide safer versions of overflow-prone string-handling functions."
C1,The code unit handles zip archive files,The output paths constructed from Zip archive entries should be validated,22,"Ensure that output paths constructed from Zip archive entries are validated
to prevent writing files to unexpected locations."
C2,The code unit handles zip archive files,Call extract() or extractall() to write an output file from a Zip archive entry,22,The recommended way of writing an output file from a Zip archive entry is to call extract() or extractall()
C3,The code unit handles tar archive files,The output paths constructed from tar archive entries should be validated,22,"Ensure that output paths constructed from tar archive entries are validated
to prevent writing files to unexpected locations."
C4,The code unit handles tar archive files,""".."" should not occur in the path while writing an output file from a tar archive entry",22,"The recommended way of writing an output file from a tar archive entry is to check that
"".."" does not occur in the path."
C5,The code unit handles files and filepaths,"Validate user input before using it to construct a file path using a library function
like werkzeug.utils.secure_filename; or by custom validation.",22,"Validate user input before using it to construct a file path; either using an off-the-shelf library function
like werkzeug.utils.secure_filename; or by performing custom validation."
C6,The code unit handles files and filepaths,"Do not allow more than a single ""."" character in a user-provided filepath.",22,"Do not allow more than a single ""."" character."
C7,The code unit handles files and filepaths,"Do not allow directory separators such as ""/"" or ""\"" in a user-provided filepath.",22,"Do not allow directory separators such as ""/"" or ""\"" (depending on the file system)."
C8,The code unit handles files and filepaths,Use an allowlist of known good patterns for user-provided filepaths.,22,Use an allowlist of known good patterns.
C9,The code unit handles files and filepaths,Validate user input before using it to construct a file path.,22,Validate user input before using it to construct a file path.
C10,The code unit handles files and filepaths,"The normalized path should be relative and does not contain
any "".."" components; ",22,"Common validation methods include checking that the normalized path is relative and does not contain
any "".."" components; "
C11,The code unit handles files and filepaths,The filepath should be contained within a safe folder,22,"or checking that the path is contained within a safe folder. The method you should use depends 
on how the path is used in the application; and whether the path should be a single path component."
C12,The code unit handles files and filepaths,"Rejects single path components (such as a file name); if any path separators (""/"" or ""\""); or "".."" sequences are found in the input",22,"If the path should be a single path component (such as a file name); you can check for the existence 
of any path separators (""/"" or ""\""); or "".."" sequences in the input; and reject the input if any are found."
C13,The code unit handles user logins or registration,"Remove hard-coded credentials; such as user names; passwords and certificates; from code;
placing them in configuration files or other data stores if necessary.",798,"Remove hard-coded credentials; such as user names; passwords and certificates; from source code;
placing them in configuration files or other data stores if necessary."
C14,The code unit handles user logins or registration,place the credentials in configuration files or other data stores if necessary.,798,"Remove hard-coded credentials; such as user names; passwords and certificates; from source code;
placing them in configuration files or other data stores if necessary."
C15,The code unit handles user logins or registration,"Store configuration files including credential data separately from the source code; in a secure location
with restricted access.",798," If possible; store
configuration files including credential data separately from the source code; in a secure location
with restricted access."
C16,The code unit handles authentications,"For outbound authentication details; encrypt the credentials or the enclosing data
stores or configuration files; and using permissions to restrict access.",798,"For outbound authentication details; consider encrypting the credentials or the enclosing data
stores or configuration files; and using permissions to restrict access."
C17,The code unit handles authentications,"For outbound authentication details; 
use permissions to restrict access to credentials or the enclosing data stores or configuration files",798,"For outbound authentication details; consider encrypting the credentials or the enclosing data
stores or configuration files; and using permissions to restrict access."
C18,The code unit handles authentications,For inbound authentication details;hash passwords using standard library functions like hashlib.pbkdf2_hmac.,798,"For inbound authentication details; consider hashing passwords using standard library functions
where possible. For example; hashlib.pbkdf2_hmac."
C19,The code unit is a python web app,Flask applications should be run with debugging disabled.,200,"Ensure that Flask applications that are run in a production
               environment have debugging disabled."
C20,The code unit is a python web page,Flask applications should be run with debugging disabled.,200,"Ensure that Flask applications that are run in a production
               environment have debugging disabled."
C21,The code unit displays messages ,"Send the user a more generic error message that reveals less information.
",200,"Send the user a more generic error message that reveals less information.
Either suppress the stack trace entirely; or log it only on the server."
C22,The code unit displays messages ,Either suppress the stack trace entirely; or log it only on the server.,200,"Send the user a more generic error message that reveals less information.
Either suppress the stack trace entirely; or log it only on the server."
C23,The code unit handles sensitive data such as login credentials and user information,Sensitive data should not be logged.,200,Sensitive data should not be logged.
C24,The code unit handles sensitive data such as login credentials and user information,"Ensure that sensitive information is always encrypted before being stored.
",200,"Ensure that sensitive information is always encrypted before being stored.
"
C25,"1. The code unit handles sensitive data such as login credentials and user information
2. The code unit handles cookies","If possible; avoid placing sensitive information in cookies altogether.
",200,"If possible; avoid placing sensitive information in cookies altogether.
"
C26,"1. The code unit handles sensitive data such as login credentials or other user information
2. The code unit handles cookies","If sensitive information need to be stored in a cookie; store a key in the cookie that can be used to look up the
sensitive information.",200,"Instead; prefer storing; in the cookie; a key that can be used to look up the
sensitive information."
C27,The code unit handles sensitive data such as login credentials and user info,"In general; decrypt sensitive information only at the point where it is
necessary for it to be used in cleartext.",200,"In general; decrypt sensitive information only at the point where it is
necessary for it to be used in cleartext."
